"","id","validation_loss","min_child_samples","learning_rate","log_max_bin","reg_alpha","reg_lambda","n_estimators","num_leaves"
"1","0","0.5506381291550106","20","0.09999999999999995","8","0.0009765625","1.0","4","4"
"2","1","0.5769574074475846","33","0.03735454900037746","9","0.0009765625","0.692397057684401","4","4"
"3","2","0.492584142317863","12","0.26770501231052046","7","0.001348364934537134","1.4442580148221913","4","4"
"4","3","0.44980874576392027","9","0.7260594590615893","9","0.0036840681931986645","0.7532480505730402","9","4"
"5","4","0.492584142317863","12","0.2677050123105203","7","0.001348364934537134","1.444258014822189","4","4"
"6","5","0.46645719270235964","5","0.7590459488450945","8","0.001951378031519758","0.04792552866398477","10","5"
"7","6","0.44807578528611136","15","0.6945064905423671","10","0.006955268652669901","11.838839163780849","8","4"
"8","7","0.44891034911508376","20","1.0","9","0.0617777062707411","61.136054010477544","4","5"
"9","8","0.454824279652318","11","0.38363923015550033","10","0.0009765625","2.292560666768758","21","4"
"10","9","0.4493952581854355","18","1.0","10","0.009832541025097272","16.250006229581324","4","4"
"11","10","0.440184207549805","13","0.2882453730811091","10","0.004919965439995103","8.625111324002386","20","13"
"12","11","0.48367738459911236","11","1.0","10","0.003121941599121887","1.639148985345778","25","15"
"13","12","0.4683941819682696","16","0.06616934593005037","9","0.007753527464304486","45.38485886061243","16","11"
"14","13","0.44701995174550024","11","0.5365527316804679","10","0.0009765625","30.7601746125037","29","4"
"15","14","0.4506533132447876","15","0.1548503813268207","9","0.035057777722682114","2.4184695401954706","14","41"
"16","15","0.4596378984405248","11","1.0","10","0.002585178770898542","4.430701633152265","18","37"
"17","16","0.46683022092011583","15","0.07275518886716988","9","0.009363398850104593","16.79024035263393","22","5"
"18","17","0.43692441334426996","10","0.2535285054011641","10","0.0027819024246222325","16.198822061159447","13","38"
"19","18","0.4452185961992522","13","0.28824537308110887","8","0.004919965439995104","8.6251113240024","20","13"
"20","19","0.45539407923601305","11","0.7814154673452971","10","0.004433858749433729","10.534908681855693","7","21"
"21","20","0.4470820480952914","9","0.08225675807175313","9","0.0017454279753741457","24.907841547885674","23","69"
"22","21","0.4386794376625892","4","0.31320291167021025","10","0.013040701033956728","34.73434518132677","22","21"
"23","22","0.44807774614136225","24","0.20522383622866422","9","0.0009765625","7.554535281988685","8","67"
"24","23","0.44652105761314953","9","0.10281184104645645","10","0.003835567316498936","28.80401507167825","17","18"
"25","24","0.45987512237092787","11","0.625187744881487","10","0.0020176887697497415","9.109904835007367","10","82"
"26","25","0.44801182565077075","5","0.1570485006225477","10","0.001224249018417067","27.394152274460474","9","138"
"27","26","0.43922715818855707","18","0.40927931687441854","9","0.0063214109088079356","9.578753652973726","18","10"
"28","27","0.45418636979121896","7","0.46977848944213857","8","0.0009765625","27.70396970924892","23","65"
"29","28","0.4452530794912457","15","0.13682342741421927","10","0.014232641624630645","9.471633088073453","7","22"
"30","29","0.4460133639151024","10","0.09014687241697125","9","0.0009765625","2.121052103391007","9","15"
"31","30","0.44727403567926494","10","0.7130219976311362","10","0.008764030653045603","123.71305530382536","18","96"
"32","31","0.44274961246426514","5","0.3012705830817358","9","0.0009765625","15.635592365758141","6","70"
"33","32","0.450661831839978","21","0.21335207172719386","10","0.021946437742806194","16.78234057468557","26","21"
"34","33","0.4534840490876107","8","0.1039216293654851","8","0.007046860113124488","9.147391171256526","8","87"
"35","34","0.4528881272138018","13","0.61851130937229","10","0.001098216932915345","28.685975187509346","20","17"
"36","35","0.4561691502817302","9","0.3835982297866823","9","0.0009765625","40.672974525903264","47","47"
"37","36","0.4458253561135539","12","0.16756256431812022","10","0.017005298831153204","6.451503467050136","4","31"
"38","37","0.445404508565762","19","0.12919091765123378","10","0.0009765625","60.60815684137711","23","34"
"39","38","0.4553588080802647","5","0.49753267659628064","9","0.02549005693938859","4.329480549224776","7","42"
"40","39","0.4619957019085902","10","0.3102737439181507","10","0.009948152402250816","4.0137195771253085","26","133"
"41","40","0.46293017910125556","10","0.2071612706871646","9","0.0009765625","65.37622550029846","7","11"
"42","41","0.45363396752216045","8","0.6730161084337591","8","0.0013753651772909553","22.50290302400876","4","31"
"43","42","0.4486322179386858","13","0.0955054451824824","10","0.005626855491108521","11.660799315054836","40","47"
