"","id","validation_loss","max_leaves","n_estimators","max_features"
"1","0","1454.471492447279","4","4","1.0"
"2","1","2730.270847083439","6","4","0.900055431447227"
"3","2","2203.344040209836","6","6","0.719585170096958"
"4","3","2211.608349832837","6","4","0.8194918427100254"
"5","4","2877.3113463777167","4","5","1.0"
"6","5","1898.0917000063066","6","4","0.6670406416033345"
"7","6","3620.983985572055","0.1251503512591089","4","4"
"8","7","2773.3521757750887","0.1","4","5"
"9","8","2652.0232988627417","0.22206020695734197","4","4"
"10","9","2664.445061470427","0.14482905710989216","4","4"
"11","10","2555.563642979248","0.34047543012395615","5","6"
"12","11","2522.9722462101763","0.16911997846344595","8","7"
"13","12","3187.8178686132796","0.1772871406968698","4","6"
"14","13","1685.0735372552722","0.16132905637177675","16","8"
"15","14","1719.7964580125288","0.27252441951879364","22","6"
"16","15","1234.2064727386603","0.1","12","11"
"17","16","1348.1756169472915","0.15578253065882577","20","11"
"18","17","1337.3669383145448","0.1","7","8"
"19","18","1324.2310886724472","0.1","18","11"
"20","19","1709.4507754267045","0.16875191992376493","8","8"
"21","20","1949.467241661865","0.1","6","11"
"22","21","1415.78432309757","0.14409360958886427","24","10"
"23","22","1522.4022439685757","0.16331797721678926","23","11"
"24","23","2161.7106980252893","0.1","6","10"
"25","24","1258.003096093544","0.1","16","11"
"26","25","1712.047430544538","0.19270952178195733","9","11"
"27","26","2092.8030495809235","0.1639970991612711","8","11"
"28","27","1120.2323389498474","0.1","11","11"
"29","28","1516.2129424392638","0.1936265040911046","12","11"
"30","29","1747.121764403936","0.1","13","10"
"31","30","1478.5461299925216","0.18679091916277388","9","11"
"32","31","1452.3366819740436","0.13499235140080468","7","10"
"33","32","1264.6131890159354","0.1","17","11"
"34","33","1697.8660940068899","0.18307268069437976","9","10"
"35","34","1347.0079309273306","0.1","14","11"
"36","35","1544.9336289815092","0.1","10","11"
"37","36","1793.2812159031703","0.19504852680895488","13","10"
"38","37","1881.5218654795215","0.1","8","11"
"39","38","1517.704705485305","0.13289902651821395","15","10"
"40","39","1488.3859135991888","0.14921617657014083","9","10"
"41","40","1852.6762709207537","0.1","13","9"
"42","41","1376.181268687891","0.10763257516640645","5","11"
"43","42","1841.7418977467637","0.16643902433963742","4","10"
"44","43","2628.818023894653","0.1","4","9"
