"","id","validation_loss","min_child_samples","learning_rate","log_max_bin","reg_alpha","reg_lambda","n_estimators","num_leaves"
"1","0","0.5896248263084761","20","0.09999999999999995","8","0.0009765625","1.0","4","4"
"2","1","0.5896248263084761","33","0.03735454900037746","9","0.0009765625","0.692397057684401","4","4"
"3","2","0.5177587622375522","12","0.26770501231052046","7","0.001348364934537134","1.4442580148221913","4","4"
"4","3","0.35088590004192116","9","0.7260594590615893","9","0.0036840681931986645","0.7532480505730402","7","4"
"5","4","0.5177587622375522","12","0.2677050123105203","7","0.001348364934537134","1.444258014822189","4","4"
"6","5","0.3604668290469909","5","0.7590459488450945","8","0.001951378031519758","0.04792552866398477","8","5"
"7","6","0.3683150576402449","15","0.6945064905423671","10","0.006955268652669901","11.838839163780849","6","4"
"8","7","0.36700496966548746","12","1.0","9","0.03272242872077145","3.8897912933900862","4","5"
"9","8","0.36225984496250896","7","0.40106881032023267","10","0.0009765625","0.1458645420529982","15","4"
"10","9","0.36990967036174155","11","1.0","9","0.00520810244115829","1.0339092663475984","4","4"
"11","10","0.33997514581770394","8","0.30134099897732936","9","0.002606008350542268","0.5487740986174037","15","10"
"12","11","0.3564242085060144","7","1.0","10","0.0016536306964841229","0.10429111847281616","18","11"
"13","12","0.5141795924831238","10","0.06917556591143302","8","0.004106890091926421","2.8876189624128012","13","9"
"14","13","0.36637762849833333","7","0.5609295109937833","10","0.0009765625","1.9571210691872563","20","4"
"15","14","0.3549418448040115","9","0.16188557721588873","8","0.018569411230834824","0.15387551442507594","11","24"
"16","15","0.39410517705836734","7","1.0","10","0.0013693180463911756","0.2819041057718779","14","23"
"17","16","0.5450674741245809","9","0.07606061828388147","8","0.0049596071131862915","1.0682817495288357","16","4"
"18","17","0.34108348015436735","6","0.26504686708472625","10","0.0014735186735308722","1.0306526653793284","11","23"
"19","18","0.3643364653944846","11","0.34260505948794023","7","0.0046088859578702485","0.29219641245725136","21","4"
"20","19","0.34647637876983695","9","0.9287812318128684","10","0.004153514811979165","0.3568953961019196","10","6"
"21","20","0.3945194583026033","7","0.09776941496482625","8","0.001635068088239214","0.8438131021094561","23","16"
"22","21","0.3560081364302751","3","0.3722692962511982","10","0.012216163834729494","1.1767095715960965","22","6"
"23","22","0.3489177851651916","19","0.24392663746134163","8","0.0009765625","0.2559280714482997","10","16"
"24","23","0.4288192436700712","8","0.1222009447758743","9","0.0035930521384913644","0.9758053608986269","18","5"
"25","24","0.3224222701128431","8","0.7430907987757424","9","0.001890114382238696","0.30861995986167745","12","18"
"26","25","0.36150771180537644","4","0.46030838066702795","10","0.0009765625","0.5219133924348774","9","50"
"27","26","0.3557879475417664","15","1.0","8","0.004294970797331602","0.1824944157509963","16","7"
"28","27","0.3659986956890381","5","1.0","8","0.0009765625","0.5278160342398096","19","27"
"29","28","0.34552810086927044","12","0.40102879085564247","10","0.009670116533873958","0.18045355473560493","8","12"
"30","29","0.3662360853911825","8","0.26422003839555064","8","0.0009765625","0.04041028492945888","9","9"
"31","30","0.3330911087139102","8","1.0","10","0.0059545655653079664","2.3569811445597946","16","37"
"32","31","0.37274363994756077","4","0.8830225929648576","8","0.0009765625","0.29788930763700444","7","29"
"33","32","0.33724495346953154","16","0.6253338698516704","10","0.01491111882625325","0.319737154651709","21","11"
"34","33","0.3361669453954376","6","0.30459378306625884","8","0.004787864423839199","0.1742760976973275","9","35"
"35","34","0.35001968101526104","11","1.0","10","0.0009765625","0.5465252027299897","17","9"
"36","35","0.34824739741243127","7","1.0","8","0.0009765625","0.7749015155698803","33","21"
"37","36","0.39166862231565075","9","0.49112504949706537","10","0.011553949416250379","0.12291404483184824","4","15"
"38","37","0.32341611402085557","15","0.37865794238846057","10","0.0009765625","1.1547066114471056","19","17"
"39","38","0.362526505856159","4","1.0","8","0.017318768192153295","0.08248526394566894","8","19"
"40","39","0.3615967941228203","8","0.9094108129673857","10","0.0067590961371515644","0.07646938586717075","21","48"
"41","40","0.35113699462293224","8","0.6071886625400987","8","0.0009765625","1.2455478561115774","7","7"
"42","41","0.3747614728122106","6","1.0","7","0.0009765625","0.4287253111257217","5","15"
"43","42","0.36190383489326206","10","0.2799259887395601","10","0.003823067407537569","0.22216154995591778","29","21"
"44","43","0.34100324576505636","9","0.9793983477204103","9","0.0009765625","0.517864492980504","17","30"
"45","44","0.34416366859832837","7","0.5637991288329223","9","0.026274435328979016","0.18392123985339376","9","11"
"46","45","0.36650358447033643","9","0.5650663276984437","8","0.0020035764139576563","3.038586538851677","5","11"
"47","46","0.37505052914604736","7","0.9772019817111668","10","0.0017830776770269316","0.031345587300935764","27","29"
"48","47","0.34604490199216265","13","0.9264825978614217","8","0.0037456616435757326","1.688447641733834","4","15"
"49","48","0.35244799535475335","5","0.5960003312525936","10","0.0009765625","0.05641056155417224","35","21"
"50","49","0.3734335581328685","9","1.0","9","0.009206394907732802","0.7030910868963489","4","10"
"51","50","0.33995820569186963","7","0.503809212592502","9","0.0009765625","0.1354679093507906","35","32"
"52","51","0.3373746558219722","7","0.3155830887008769","10","0.0015702529826885768","0.07980474291624781","38","13"
"53","52","0.3523564935421769","9","1.0","8","0.002275131725480757","1.1934914661022216","4","24"
"54","53","0.3480602809426384","11","0.3256002261307464","9","0.01569752099412598","0.6354589626281109","30","22"
"55","54","0.3810167661402048","6","1.0","9","0.0009765625","0.14988580730863704","5","15"
"56","55","0.3340023202000718","7","0.7997507160720471","9","0.0011195247942637158","2.7251657121465214","24","7"
"57","56","0.3786496400478766","9","0.6904450651037944","9","0.003191115012593477","0.03495063775406195","6","48"
"58","57","0.3676865320761283","11","0.586070684568118","9","0.0009765625","1.3361730895048431","10","26"
"59","58","0.3299954278197318","6","0.9421797570920669","9","0.004261211633778051","0.07128289019824492","15","12"
"60","59","0.35623650405323687","11","0.34815614544807183","10","0.0009765625","0.13773897609367355","9","7"
"61","60","0.34312839855592825","6","1.0","8","0.008639856586539494","0.6914983857600938","16","45"
"62","61","0.34002289481816417","8","0.8476041125292901","9","0.005350235958433689","3.5974744480386103","32","20"
"63","62","0.3675596470507081","8","0.6514644361238742","9","0.0009765625","0.026475873838924125","4","16"
"64","63","0.335244713106041","12","0.32256091090440353","10","0.0009765625","0.16556343318642047","12","35"
"65","64","0.37734101442098966","6","1.0","8","0.0173832736876264","0.5752857245825433","12","9"
"66","65","0.3288736709738436","8","0.4764642751995208","7","0.0009765625","0.2115964601949458","18","8"
"67","66","0.35979954344707393","8","1.0","10","0.0067681139094446915","0.45013172496965276","8","42"
"68","67","0.35408931101187446","5","0.4113736112920045","9","0.013220529328376888","0.06026319701891452","11","11"
"69","68","0.33560109170630936","12","1.0","9","0.0009765625","1.5805049240107345","13","29"
"70","69","0.3128825903933564","6","0.4216321061691489","9","0.0009765625","0.34955562633974396","38","14"
"71","70","0.32626116639933717","8","0.7430907987757424","9","0.0056650156730923594","0.30861995986167773","12","18"
"72","71","0.33858906231004776","9","0.10110398177239995","9","0.001507251380562131","2.774907618357112","45","15"
"73","72","0.3478577596577573","4","1.0","9","0.0009765625","0.044033586955270654","32","13"
"74","73","0.34038919861310807","5","0.8661964257713605","10","0.003676423321070747","0.3094708060471861","16","8"
"75","74","0.3263450807226754","7","0.20523478008388507","8","0.0009765625","0.3948325125283071","90","24"
"76","75","0.34448092969107663","8","0.43063439239535917","8","0.002667476464889519","0.08264551404129074","83","15"
"77","76","0.32391431140532645","4","0.4128180101077971","10","0.0009765625","1.4784726953809453","17","13"
"78","77","0.3396296205149397","8","0.8915441236769205","8","0.003585925112361198","0.07992897315784935","16","12"
"79","78","0.3181600794768878","4","0.19939970241680874","10","0.0009765625","1.5287214520379637","90","17"
"80","79","0.3395036102404547","4","0.6693297257311055","9","0.0009765625","3.225013558104438","65","15"
"81","80","0.3430604180084558","9","0.2655994887399498","9","0.0012134989399275721","0.03788794487350615","22","13"
"82","81","0.310738884546981","7","0.3504279400309015","9","0.009351976587500649","1.4288697162672905","99","18"
"83","82","0.3128825903933564","6","0.4216321061691489","9","0.0009765625","0.3495556263397442","38","14"
"84","83","0.3325135012748991","5","1.0","10","0.0021526918573744544","3.2762308678505114","69","33"
"85","84","0.3240142469226609","9","0.11009909637004035","8","0.04062795415588688","0.6231760667725096","142","10"
"86","85","0.32225556389517795","7","0.08357650219835361","9","0.04599871005203179","0.4904657945463991","64","11"
"87","86","0.3508617384166376","7","1.0","9","0.0019013460593618786","4.16271366681947","152","29"
"88","87","0.3125237451450375","11","0.1186286976060665","10","0.003807420621014384","5.1261558935992815","78","35"
"89","88","0.3447915487026415","4","1.0","8","0.02297079172457155","0.39828454468485336","125","9"
"90","89","0.3399873372558958","5","0.6497385888526831","8","0.0023869546749705674","0.6761002327943005","91","16"
"91","90","0.33554763264882637","10","0.1889986884896932","10","0.03664060612891139","3.019772168436648","108","21"
"92","91","0.3385757041791927","5","0.24808013264563566","9","0.001606873644443908","0.15598322432660303","54","32"
"93","92","0.34557358967990875","10","0.49500030431583","9","0.054428340644934424","13.08902720071263","182","10"
"94","93","0.33666408142745563","5","0.5708268591310237","8","0.013342747625762414","1.2788058043613235","40","25"
"95","94","0.3306172339277362","9","0.2151260740274916","10","0.006554831774251053","1.5965431648047934","243","13"
"96","95","0.30918939536584766","8","0.059662133734416686","9","0.023146173084375016","2.2797196908706656","141","22"
"97","96","0.310738884546981","7","0.3504279400309018","9","0.009351976587500652","1.4288697162672905","99","18"
"98","97","0.33291668204197133","19","0.0983787041512327","9","0.15973197648846693","0.6878030311794103","104","30"
"99","98","0.31854722718883866","3","0.0361823245432413","9","0.0033540267905626826","7.556119460584046","191","16"
"100","99","0.3260936848099315","3","0.12562734952486573","10","0.018272573646953786","7.8105156030043545","145","17"
"101","100","0.3370074313238725","18","0.028334357249484653","8","0.029319642585824812","0.6654006128538227","137","28"
"102","101","0.3298874794648211","15","0.13012621330923943","8","0.04228035847427623","1.83184691729749","297","22"
"103","102","0.37723618839588074","4","0.027354751292764146","10","0.01267125795013775","2.8370939841472764","67","22"
"104","103","0.31435994854990035","10","0.05215568531048103","7","0.0048240947814795826","8.249190858379139","266","28"
"105","104","0.310435004935005","6","0.06824893931607687","10","0.11105613648153277","0.630015956494018","75","17"
"106","105","0.326743439337998","9","0.02811034950255155","10","0.06602094083796692","7.977461047155866","153","56"
"107","106","0.3218955543569422","7","0.1266284576582843","8","0.008114778760374058","0.6514756810747859","130","9"
"108","107","0.392294966326821","12","0.028885796906223022","7","0.018037749449404797","6.0164845878433715","88","13"
"109","108","0.31234819761382454","6","0.1232290808281825","10","0.029701339956771867","0.8638137093286177","226","37"
"110","109","0.31690080022671596","10","0.06572294669643526","10","0.37055417008050534","0.5020942675925096","112","16"
"111","110","0.3291637031452965","7","0.05416023444877722","8","0.0014457948977755464","10.350888676469275","177","31"
"112","111","0.30213202719354476","5","0.0569996908204278","8","0.14647528641245183","2.4472154562226245","309","43"
"113","112","0.30918939536584766","8","0.059662133734416686","9","0.023146173084375023","2.2797196908706656","141","22"
"114","113","0.32947491173219967","8","0.11087350053054111","8","1.1114524962797836","0.484460308604097","372","27"
"115","114","0.3277717057926825","3","0.029303347852081267","8","0.01930357761705811","12.361928072974553","257","68"
"116","115","0.32238541222641715","6","0.05738666555600061","6","0.04859629689581576","16.90074543742805","217","25"
"117","116","0.3193683337574566","4","0.0566153255664222","10","0.44149474137106776","0.35435499051492075","441","74"
"118","117","0.3317873706619515","8","0.12332471575449848","8","0.052771898511045974","6.983265244269612","727","80"
"119","118","0.3313101094140917","3","0.026344798232432576","8","0.40656125959006256","0.8576021788788998","131","23"
"120","119","0.3227804750513507","8","0.06187629812952848","10","0.04282767016201631","3.144305993055317","423","20"
"121","120","0.3090921918806493","3","0.05250741967179671","6","0.5009613982840039","1.9046694254319496","226","91"
"122","121","0.3194482918784439","4","0.039220510598071794","8","0.056388174310420654","13.492841809194148","311","95"
"123","122","0.3208234978279988","6","0.0828384104153935","8","0.38048774928407053","0.44385486570323796","307","19"
"124","123","0.31748289708272914","4","0.048781960306536615","9","0.022675660860481804","0.21947172468440365","189","81"
"125","124","0.309835599552842","6","0.06660176698944613","7","0.9461690956491898","27.287631232619074","506","23"
"126","125","0.33195195233667263","4","0.11209586280481502","8","0.011874796632831763","3.143141318834598","375","19"
"127","126","0.3300387095059336","6","0.028983806113179796","8","1.8067685866965004","1.9053751905101854","255","97"
"128","127","0.3205913099985963","3","0.04450294515847083","9","0.1254768799163159","2.2266777652973895","749","28"
"129","128","0.30211459545265223","9","0.07300561214668157","7","0.1709877512408561","2.689595945363495","105","67"
"130","129","0.3025359003313953","5","0.07130563129453948","9","0.12084274271061492","1.8727299388860321","114","42"
"131","130","0.3108861375888029","15","0.07474612184409413","6","0.24194097567297856","3.862770706607465","97","107"
"132","131","0.30569556740812526","6","0.15584153681394797","6","0.1173164659631831","8.04882615202037","77","74"
"133","132","0.315201861517651","13","0.034200249265218204","8","0.24921319300208167","0.8987554474014742","144","61"
